location,date,vaccine,total_vaccinations,month
Argentina,2020-12-29,Moderna,2,2020-12
Argentina,2020-12-29,Oxford/AstraZeneca,3,2020-12
Argentina,2020-12-29,Sinopharm/Beijing,1,2020-12
Argentina,2020-12-29,Sputnik V,20481,2020-12
Argentina,2020-12-30,Moderna,2,2020-12
Argentina,2020-12-30,Oxford/AstraZeneca,3,2020-12
Argentina,2020-12-30,Sinopharm/Beijing,1,2020-12
Argentina,2020-12-30,Sputnik V,40583,2020-12
Argentina,2020-12-31,Moderna,2,2020-12
Argentina,2020-12-31,Oxford/AstraZeneca,3,2020-12
Argentina,2020-12-31,Sinopharm/Beijing,1,2020-12
Argentina,2020-12-31,Sputnik V,43388,2020-12
Argentina,2021-01-01,Moderna,2,2021-01
Argentina,2021-01-01,Oxford/AstraZeneca,5,2021-01
Argentina,2021-01-01,Sinopharm/Beijing,1,2021-01
Argentina,2021-01-01,Sputnik V,43513,2021-01
Argentina,2021-01-02,Moderna,2,2021-01
Argentina,2021-01-02,Oxford/AstraZeneca,6,2021-01
Argentina,2021-01-02,Sinopharm/Beijing,1,2021-01
Argentina,2021-01-02,Sputnik V,46824,2021-01
Argentina,2021-01-03,Moderna,2,2021-01
Argentina,2021-01-03,Oxford/AstraZeneca,6,2021-01
Argentina,2021-01-03,Sinopharm/Beijing,1,2021-01
Argentina,2021-01-03,Sputnik V,47266,2021-01
Argentina,2021-01-04,Moderna,2,2021-01
Argentina,2021-01-04,Oxford/AstraZeneca,6,2021-01
Argentina,2021-01-04,Sinopharm/Beijing,1,2021-01
Argentina,2021-01-04,Sputnik V,57726,2021-01
Argentina,2021-01-05,Moderna,2,2021-01
Argentina,2021-01-05,Oxford/AstraZeneca,6,2021-01
Argentina,2021-01-05,Sinopharm/Beijing,5,2021-01
Argentina,2021-01-05,Sputnik V,68445,2021-01
Argentina,2021-01-06,Moderna,2,2021-01
Argentina,2021-01-06,Oxford/AstraZeneca,6,2021-01
Argentina,2021-01-06,Sinopharm/Beijing,8,2021-01
Argentina,2021-01-06,Sputnik V,78551,2021-01
Argentina,2021-01-07,Moderna,2,2021-01
Argentina,2021-01-07,Oxford/AstraZeneca,7,2021-01
Argentina,2021-01-07,Sinopharm/Beijing,8,2021-01
Argentina,2021-01-07,Sputnik V,96771,2021-01
Argentina,2021-01-08,Moderna,2,2021-01
Argentina,2021-01-08,Oxford/AstraZeneca,7,2021-01
Argentina,2021-01-08,Sinopharm/Beijing,8,2021-01
Argentina,2021-01-08,Sputnik V,124652,2021-01
Argentina,2021-01-09,Moderna,2,2021-01
Argentina,2021-01-09,Oxford/AstraZeneca,7,2021-01
Argentina,2021-01-09,Sinopharm/Beijing,9,2021-01
Argentina,2021-01-09,Sputnik V,134860,2021-01
Argentina,2021-01-10,Moderna,2,2021-01
Argentina,2021-01-10,Oxford/AstraZeneca,7,2021-01
Argentina,2021-01-10,Sinopharm/Beijing,10,2021-01
Argentina,2021-01-10,Sputnik V,136034,2021-01
Argentina,2021-01-11,Moderna,2,2021-01
